label,pp,atom1,atom2,s2_x_x,p1_x_x,p2_x_x,s1_y_x,s2_y_x,p1_y_x,p2_y_x,d1_y_x,d2_y_x,s2_x_y,p1_x_y,p2_x_y,p3_x,p4_x,p5_x,p6_x,s1_y_y,s2_y_y,p1_y_y,p2_y_y,p3_y,p4_y,p5_y,p6_y,d1_y_y,d2_y_y,d3_y,d4_y,d5_y,nbr
Be_O,0.434006,Be,O,4.006145,4.14394,4.14394,4.628511,6.1861,5.129419,5.82366,6.897679,6.897684,3.694506,3.856542,3.856542,3.856542,3.856542,3.856542,3.856542,3.0382755,4.7794035,3.517776,3.600523,3.6434645000000003,4.374890000000001,4.420694,4.4573575000000005,5.331996,5.3410720000000005,5.345549,5.395059,5.4113050000000005,4
Mg_O,0.54089,Mg,O,2.9867019999999997,1.2235269999999998,3.179032,3.6090619999999998,5.166651,4.10997,4.804211,5.87823,5.878235,2.757533,1.2230139999999998,1.2230139999999998,1.2230139999999998,2.908773,2.908773,2.908773,2.0690185,3.8101465,2.5485189999999998,2.631266,2.6742074999999996,3.405633,3.451437,3.4881005,4.3627389999999995,4.371815,4.376291999999999,4.425802,4.442048,4
Ca_O,0.732601,Ca,O,1.808248,0.7297150000000001,1.954045,2.334559,3.892148,2.8354670000000004,3.5297080000000003,4.603727,4.603732,1.622906,0.7253029999999999,0.7253029999999999,0.7253029999999999,1.7187919999999999,1.7187919999999999,1.7187919999999999,0.8931134999999999,2.6342415,1.372614,1.455361,1.4983024999999999,2.2297279999999997,2.275532,2.3121954999999996,3.186834,3.1959099999999996,3.200387,3.249897,3.2661429999999996,4
Sr_O,0.683054,Sr,O,1.549414,0.678491,1.687498,2.0383519999999997,3.595941,2.53926,3.233501,4.30752,4.307525,1.373117,0.6709149999999999,0.6709149999999999,0.6709149999999999,1.461834,1.461834,1.461834,0.6258815,2.3670095,1.105382,1.188129,1.2310705,1.962496,2.0083,2.0449634999999997,2.9196020000000003,2.9286779999999997,2.933155,2.982665,2.9989109999999997,4
Ba_O,0.76942,Ba,O,1.2644819999999999,0.5556979999999999,1.3899789999999999,1.7074639999999999,3.265053,2.208372,2.9026129999999997,3.976632,3.9766369999999998,1.120324,0.5485439999999999,0.5485439999999999,0.5485439999999999,1.199578,1.199578,1.199578,0.3721905,2.1133185,0.851691,0.934438,0.9773795,1.708805,1.7546089999999999,1.7912724999999998,2.665911,2.674987,2.679464,2.728974,2.7452199999999998,4
Li_F,0.754253,Li,F,1.97743,2.067062,2.067062,1.636874,3.693794,2.305667,3.07824,4.3315280000000005,4.3315470000000005,1.835556,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,0.8120689999999999,2.9897894999999997,1.462335,1.5098915,1.535092,2.378974,2.3995165,2.4150045,3.5357624999999997,3.5434374999999996,3.5457780000000003,3.5709349999999995,3.5809974999999996,4
Na_F,0.703885,Na,F,2.124184,1.046237,2.24027,1.797617,3.854537,2.46641,3.238983,4.492271000000001,4.492290000000001,2.011682,1.0452309999999998,1.0452309999999998,1.0452309999999998,2.1063745,2.106375,2.1063764999999997,0.997709,3.1754295,1.647975,1.6955315,1.720732,2.5646139999999997,2.5851565,2.6006445,3.7214025,3.7290775,3.731418,3.7565749999999998,3.7666375,4
K_F,0.703124,K,F,1.319421,0.6207099999999999,1.409974,0.958333,3.015253,1.627126,2.399699,3.652987,3.653006,1.2364765,0.6187389999999999,0.6187389999999999,0.6187389999999999,1.3059195,1.3059205,1.3059205,0.21973900000000002,2.3974595,0.8700049999999999,0.9175614999999999,0.942762,1.786644,1.8071864999999998,1.8226745000000002,2.9434325,2.9511075,2.9534480000000003,2.978605,2.9886675,4
Rb_F,0.670703,Rb,F,1.170768,0.591516,1.262311,0.8067040000000001,2.863624,1.475497,2.2480700000000002,3.501358,3.501377,1.1022915,0.588916,0.588916,0.588916,1.169881,1.169881,1.169881,0.087198,2.2649185,0.7374639999999999,0.7850204999999999,0.810221,1.654103,1.6746455,1.6901335,2.8108915,2.8185664999999998,2.820907,2.8460639999999997,2.8561265,4
Cs_F,1.077726,Cs,F,0.981429,0.487158,1.0609439999999999,0.592816,2.649736,1.261609,2.034182,3.28747,3.287489,0.9125365,0.4843415,0.4843415,0.4843415,0.970568,0.9705685000000001,0.9705685000000001,-0.10679649999999996,2.0709239999999998,0.5434695,0.591026,0.6162265,1.4601085,1.480651,1.496139,2.616897,2.6245719999999997,2.6269125000000004,2.6520694999999996,2.6621319999999997,4
Be_S,0.181091,Be,S,4.006145,4.14394,4.14394,4.579453,5.602148,4.907103,5.383853,5.58715,5.58715,3.694506,3.856542,3.856542,3.856542,3.856542,3.856542,3.856542,3.2703930000000003,4.431375,3.61803,3.6605790000000002,3.6605790000000002,4.1823310000000005,4.208096,4.208096,4.2682720000000005,4.269847,4.269847,4.306942,4.306942,4
Mg_S,0.259398,Mg,S,2.9867019999999997,1.2235269999999998,3.179032,3.5600039999999997,4.582699,3.887654,4.3644039999999995,4.567701,4.567701,2.757533,1.2230139999999998,1.2230139999999998,1.2230139999999998,2.908773,2.908773,2.908773,2.301136,3.462118,2.648773,2.691322,2.691322,3.2130739999999998,3.238839,3.238839,3.299015,3.3005899999999997,3.3005899999999997,3.337685,3.337685,4
Ca_S,0.39155,Ca,S,1.808248,0.7297150000000001,1.954045,2.285501,3.308196,2.6131510000000002,3.0899010000000002,3.2931980000000003,3.2931980000000003,1.622906,0.7253029999999999,0.7253029999999999,0.7253029999999999,1.7187919999999999,1.7187919999999999,1.7187919999999999,1.1252309999999999,2.286213,1.4728679999999998,1.5154169999999998,1.5154169999999998,2.037169,2.062934,2.062934,2.12311,2.124685,2.124685,2.16178,2.16178,4
Sr_S,0.392312,Sr,S,1.549414,0.678491,1.687498,1.9892940000000001,3.011989,2.316944,2.793694,2.996991,2.996991,1.373117,0.6709149999999999,0.6709149999999999,0.6709149999999999,1.461834,1.461834,1.461834,0.857999,2.018981,1.205636,1.2481849999999999,1.2481849999999999,1.769937,1.795702,1.795702,1.8558780000000001,1.857453,1.857453,1.894548,1.894548,4
Ba_S,0.434288,Ba,S,1.2644819999999999,0.5556979999999999,1.3899789999999999,1.6584059999999998,2.681101,1.986056,2.4628059999999996,2.6661029999999997,2.6661029999999997,1.120324,0.5485439999999999,0.5485439999999999,0.5485439999999999,1.199578,1.199578,1.199578,0.604308,1.7652899999999998,0.951945,0.994494,0.994494,1.516246,1.542011,1.542011,1.602187,1.6037620000000001,1.6037620000000001,1.640857,1.640857,4
Li_Cl,0.391223,Li,Cl,1.97743,2.067062,2.067062,1.802768,3.5544320000000003,2.224082,2.7863439999999997,2.952139,2.952143,1.835556,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.1445429999999999,2.9805659999999996,1.5670089999999999,1.596388,1.6036154999999999,2.204385,2.2199619999999998,2.2243684999999997,2.2851795,2.291664,2.294112,2.3163115,2.325693,4
Na_Cl,0.408785,Na,Cl,2.124184,1.046237,2.24027,1.963511,3.7151750000000003,2.384825,2.947087,3.112882,3.112886,2.011682,1.0452309999999998,1.0452309999999998,1.0452309999999998,2.1063745,2.106375,2.1063764999999997,1.330183,3.166206,1.752649,1.782028,1.7892554999999999,2.390025,2.405602,2.4100085,2.4708195,2.477304,2.479752,2.5019514999999997,2.5113329999999996,4
K_Cl,0.428367,K,Cl,1.319421,0.6207099999999999,1.409974,1.1242269999999999,2.875891,1.545541,2.1078029999999996,2.273598,2.273602,1.2364765,0.6187389999999999,0.6187389999999999,0.6187389999999999,1.3059195,1.3059205,1.3059205,0.552213,2.388236,0.974679,1.0040580000000001,1.0112855,1.612055,1.627632,1.6320385,1.6928495,1.699334,1.7017820000000001,1.7239814999999998,1.7333629999999998,4
Rb_Cl,0.429738,Rb,Cl,1.170768,0.591516,1.262311,0.9725980000000001,2.724262,1.393912,1.9561739999999999,2.121969,2.121973,1.1022915,0.588916,0.588916,0.588916,1.169881,1.169881,1.169881,0.41967199999999993,2.255695,0.8421379999999999,0.871517,0.8787445,1.479514,1.495091,1.4994975,1.5603085,1.566793,1.5692409999999999,1.5914405,1.600822,4
Cs_Cl,0.429575,Cs,Cl,0.981429,0.487158,1.0609439999999999,0.75871,2.510374,1.180024,1.742286,1.9080810000000001,1.9080849999999998,0.9125365,0.4843415,0.4843415,0.4843415,0.970568,0.9705685000000001,0.9705685000000001,0.2256775,2.0617004999999997,0.6481435,0.6775225,0.68475,1.2855195,1.3010964999999999,1.3055029999999999,1.366314,1.3727985,1.3752465,1.397446,1.4068275,4
Be_Se,0.158329,Be,Se,4.006145,4.14394,4.14394,4.550569,6.400131,4.89331,5.377573,5.45624,5.45624,3.694506,3.856542,3.856542,3.856542,3.856542,3.856542,3.856542,3.268532,5.227329,3.637152,3.678497,3.678497,4.198273,4.22551,4.225511,4.208353,4.20902,4.20902,4.241458,4.241458,4
Mg_Se,0.22307,Mg,Se,2.9867019999999997,1.2235269999999998,3.179032,3.5311199999999996,5.380682,3.8738609999999998,4.358124,4.4367909999999995,4.4367909999999995,2.757533,1.2230139999999998,1.2230139999999998,1.2230139999999998,2.908773,2.908773,2.908773,2.2992749999999997,4.258072,2.6678949999999997,2.70924,2.70924,3.2290159999999997,3.256253,3.2562539999999998,3.239096,3.239763,3.239763,3.272201,3.272201,4
Ca_Se,0.3473,Ca,Se,1.808248,0.7297150000000001,1.954045,2.2566170000000003,4.106179,2.599358,3.083621,3.162288,3.162288,1.622906,0.7253029999999999,0.7253029999999999,0.7253029999999999,1.7187919999999999,1.7187919999999999,1.7187919999999999,1.12337,3.082167,1.49199,1.533335,1.533335,2.053111,2.080348,2.080349,2.0631909999999998,2.0638579999999997,2.0638579999999997,2.0962959999999997,2.0962959999999997,4
Sr_Se,0.352007,Sr,Se,1.549414,0.678491,1.687498,1.96041,3.809972,2.3031509999999997,2.787414,2.866081,2.866081,1.373117,0.6709149999999999,0.6709149999999999,0.6709149999999999,1.461834,1.461834,1.461834,0.856138,2.814935,1.224758,1.266103,1.266103,1.785879,1.813116,1.813117,1.7959589999999999,1.7966259999999998,1.7966259999999998,1.829064,1.829064,4
Ba_Se,0.39028,Ba,Se,1.2644819999999999,0.5556979999999999,1.3899789999999999,1.629522,3.479084,1.9722629999999999,2.456526,2.5351929999999996,2.5351929999999996,1.120324,0.5485439999999999,0.5485439999999999,0.5485439999999999,1.199578,1.199578,1.199578,0.602447,2.561244,0.9710669999999999,1.0124119999999999,1.0124119999999999,1.532188,1.559425,1.559426,1.542268,1.542935,1.542935,1.575373,1.575373,4
Li_Br,0.341177,Li,Br,1.97743,2.067062,2.067062,1.789957,2.854696,2.216747,2.749183,3.0049520000000003,3.004953,1.835556,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.165141,2.2916464999999997,1.5965634999999998,1.6225319999999999,1.6269114999999998,2.191021,2.2052725,2.2074185,2.3779624999999998,2.3838235,2.3842955,2.4039805,2.410869,4
Na_Br,0.359527,Na,Br,2.124184,1.046237,2.24027,1.9507,3.015439,2.37749,2.909926,3.1656950000000004,3.165696,2.011682,1.0452309999999998,1.0452309999999998,1.0452309999999998,2.1063745,2.106375,2.1063764999999997,1.350781,2.4772865,1.7822035,1.808172,1.8125514999999999,2.376661,2.3909124999999998,2.3930585,2.5636025,2.5694635,2.5699354999999997,2.5896204999999997,2.596509,4
K_Br,0.380902,K,Br,1.319421,0.6207099999999999,1.409974,1.111416,2.176155,1.538206,2.070642,2.3264110000000002,2.326412,1.2364765,0.6187389999999999,0.6187389999999999,0.6187389999999999,1.3059195,1.3059205,1.3059205,0.572811,1.6993165000000001,1.0042335,1.030202,1.0345815,1.598691,1.6129425,1.6150885000000001,1.7856325000000002,1.7914935,1.7919654999999999,1.8116504999999998,1.818539,4
Rb_Br,0.384354,Rb,Br,1.170768,0.591516,1.262311,0.9597870000000001,2.0245260000000003,1.386577,1.919013,2.174782,2.174783,1.1022915,0.588916,0.588916,0.588916,1.169881,1.169881,1.169881,0.44026999999999994,1.5667754999999999,0.8716925,0.897661,0.9020405,1.4661499999999998,1.4804015,1.4825475,1.6530915,1.6589524999999998,1.6594245,1.6791095,1.685998,4
Cs_Br,0.381704,Cs,Br,0.981429,0.487158,1.0609439999999999,0.745899,1.810638,1.172689,1.7051249999999998,1.9608940000000001,1.9608949999999998,0.9125365,0.4843415,0.4843415,0.4843415,0.970568,0.9705685000000001,0.9705685000000001,0.2462755,1.372781,0.677698,0.7036665,0.708046,1.2721555,1.286407,1.288553,1.459097,1.464958,1.46543,1.485115,1.4920035,4
Be_Te,0.12168,Be,Te,4.006145,4.14394,4.14394,4.5339670000000005,5.542085,4.824307,5.20436,5.301349,5.301351,3.694506,3.856542,3.856542,3.856542,3.856542,3.856542,3.856542,3.346807,4.474308000000001,3.657751,3.6949170000000002,3.6949170000000002,4.109386,4.132795,4.132796,4.138946,4.139635,4.1396370000000005,4.168945,4.168948,4
Mg_Te,0.170083,Mg,Te,2.9867019999999997,1.2235269999999998,3.179032,3.514518,4.522636,3.804858,4.184911,4.2819,4.281902,2.757533,1.2230139999999998,1.2230139999999998,1.2230139999999998,2.908773,2.908773,2.908773,2.37755,3.505051,2.688494,2.72566,2.72566,3.140129,3.163538,3.163539,3.169689,3.170378,3.1703799999999998,3.199688,3.1996909999999996,4
Ca_Te,0.277946,Ca,Te,1.808248,0.7297150000000001,1.954045,2.240015,3.248133,2.530355,2.9104080000000003,3.007397,3.0073990000000004,1.622906,0.7253029999999999,0.7253029999999999,0.7253029999999999,1.7187919999999999,1.7187919999999999,1.7187919999999999,1.2016449999999999,2.3291459999999997,1.512589,1.5497549999999998,1.5497549999999998,1.9642239999999997,1.9876329999999998,1.987634,1.9937839999999998,1.994473,1.994475,2.023783,2.023786,4
Sr_Te,0.287808,Sr,Te,1.549414,0.678491,1.687498,1.943808,2.9519260000000003,2.234148,2.614201,2.71119,2.711192,1.373117,0.6709149999999999,0.6709149999999999,0.6709149999999999,1.461834,1.461834,1.461834,0.9344129999999999,2.061914,1.245357,1.2825229999999999,1.2825229999999999,1.6969919999999998,1.7204009999999998,1.720402,1.7265519999999999,1.727241,1.727243,1.756551,1.756554,4
Ba_Te,0.322168,Ba,Te,1.2644819999999999,0.5556979999999999,1.3899789999999999,1.61292,2.621038,1.90326,2.2833129999999997,2.380302,2.3803039999999998,1.120324,0.5485439999999999,0.5485439999999999,0.5485439999999999,1.199578,1.199578,1.199578,0.6807219999999999,1.808223,0.9916659999999999,1.028832,1.028832,1.443301,1.46671,1.466711,1.472861,1.47355,1.473552,1.50286,1.502863,4
Li_I,0.249535,Li,I,1.97743,2.067062,2.067062,1.847968,5.427772,2.201037,2.6325890000000003,2.689819,2.689822,1.835556,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.9480849999999998,1.267278,4.867311,1.6273019999999998,1.649562,1.652124,2.1130204999999997,2.11585,2.1213214999999996,2.130007,2.1453145,2.1498185,2.1498185,2.1498185,4
Na_I,0.276732,Na,I,2.124184,1.046237,2.24027,2.008711,5.588515,2.36178,2.7933320000000004,2.850562,2.850565,2.011682,1.0452309999999998,1.0452309999999998,1.0452309999999998,2.1063745,2.106375,2.1063764999999997,1.452918,5.052951,1.812942,1.835202,1.837764,2.2986605,2.30149,2.3069615,2.315647,2.3309545,2.3354584999999997,2.3354584999999997,2.3354584999999997,4
K_I,0.301982,K,I,1.319421,0.6207099999999999,1.409974,1.169427,4.749231,1.5224959999999998,1.954048,2.011278,2.011281,1.2364765,0.6187389999999999,0.6187389999999999,0.6187389999999999,1.3059195,1.3059205,1.3059205,0.674948,4.2749809999999995,1.034972,1.057232,1.059794,1.5206905,1.52352,1.5289915,1.537677,1.5529845,1.5574884999999998,1.5574884999999998,1.5574884999999998,4
Rb_I,0.637099,Rb,I,1.170768,0.591516,1.262311,1.017798,4.597602,1.370867,1.802419,1.859649,1.859652,1.1022915,0.588916,0.588916,0.588916,1.169881,1.169881,1.169881,0.542407,4.14244,0.902431,0.9246909999999999,0.9272529999999999,1.3881495,1.390979,1.3964504999999998,1.405136,1.4204435,1.4249475,1.4249475,1.4249475,4
Cs_I,0.313248,Cs,I,0.981429,0.487158,1.0609439999999999,0.8039099999999999,4.383714,1.156979,1.5885310000000001,1.6457609999999998,1.6457639999999998,0.9125365,0.4843415,0.4843415,0.4843415,0.970568,0.9705685000000001,0.9705685000000001,0.3484125,3.9484455,0.7084365,0.7306965000000001,0.7332585,1.1941549999999999,1.1969845000000001,1.202456,1.2111415,1.2264490000000001,1.230953,1.230953,1.230953,4
